"indicateurs","zones","regions","Unit","Date","Value"
"Population résidente par zone","Rual","Dakar","","2002","61513"
"Population résidente par zone","Rual","Dakar","","2003","65864"
"Population résidente par zone","Rual","Dakar","","2004","69509"
"Population résidente par zone","Rual","Dakar","","2005","73323"
"Population résidente par zone","Rual","Dakar","","2006","77314"
"Population résidente par zone","Rual","Dakar","","2007","81490"
"Population résidente par zone","Rual","Dakar","","2008","85859"
"Population résidente par zone","Rual","Dakar","","2009","90427"
"Population résidente par zone","Rual","Dakar","","2010","95204"
"Population résidente par zone","Rual","Dakar","","2011","100199"
"Population résidente par zone","Rual","Dakar","","2012","105421"
"Population résidente par zone","Rual","Dakar","","2013","110880"
"Population résidente par zone","Rual","Dakar","","2014","116405"
"Population résidente par zone","Rual","Dakar","","2015","119905"
"Population résidente par zone","Rual","Dakar","","2016","123457"
"Population résidente par zone","Rual","Dakar","","2017","127054"
"Population résidente par zone","Rual","Dakar","","2018","130693"
"Population résidente par zone","Rual","Diourbel","","1970","302330"
"Population résidente par zone","Rual","Diourbel","","1971","308495"
"Population résidente par zone","Rual","Diourbel","","1972","314751"
"Population résidente par zone","Rual","Diourbel","","1973","321098"
"Population résidente par zone","Rual","Diourbel","","1974","327535"
"Population résidente par zone","Rual","Diourbel","","1975","334061"
"Population résidente par zone","Rual","Diourbel","","1976","334059"
"Population résidente par zone","Rual","Diourbel","","1977","346464"
"Population résidente par zone","Rual","Diourbel","","1978","357279"
"Population résidente par zone","Rual","Diourbel","","1979","368430"
"Population résidente par zone","Rual","Diourbel","","1980","379929"
"Population résidente par zone","Rual","Diourbel","","1981","391786"
"Population résidente par zone","Rual","Diourbel","","1982","404013"
"Population résidente par zone","Rual","Diourbel","","1983","416621"
"Population résidente par zone","Rual","Diourbel","","1984","429622"
"Population résidente par zone","Rual","Diourbel","","1985","443028"
"Population résidente par zone","Rual","Diourbel","","1986","456852"
"Population résidente par zone","Rual","Diourbel","","1987","471106"
"Population résidente par zone","Rual","Diourbel","","1988","485805"
"Population résidente par zone","Rual","Diourbel","","1989","513150"
"Population résidente par zone","Rual","Diourbel","","1990","535511"
"Population résidente par zone","Rual","Diourbel","","1991","558766"
"Population résidente par zone","Rual","Diourbel","","1992","582950"
"Population résidente par zone","Rual","Diourbel","","1993","608098"
"Population résidente par zone","Rual","Diourbel","","1994","634248"
"Population résidente par zone","Rual","Diourbel","","1995","661438"
"Population résidente par zone","Rual","Diourbel","","1996","689709"
"Population résidente par zone","Rual","Diourbel","","1997","719103"
"Population résidente par zone","Rual","Diourbel","","1998","749663"
"Population résidente par zone","Rual","Diourbel","","1999","781433"
"Population résidente par zone","Rual","Diourbel","","2000","814461"
"Population résidente par zone","Rual","Diourbel","","2001","848795"
"Population résidente par zone","Rual","Diourbel","","2002","884485"
"Population résidente par zone","Rual","Diourbel","","2003","917831"
"Population résidente par zone","Rual","Diourbel","","2004","947197"
"Population résidente par zone","Rual","Diourbel","","2005","977502"
"Population résidente par zone","Rual","Diourbel","","2006","1008777"
"Population résidente par zone","Rual","Diourbel","","2007","1041053"
"Population résidente par zone","Rual","Diourbel","","2008","1074361"
"Population résidente par zone","Rual","Diourbel","","2009","1108735"
"Population résidente par zone","Rual","Diourbel","","2010","1144209"
"Population résidente par zone","Rual","Diourbel","","2011","1180818"
"Population résidente par zone","Rual","Diourbel","","2012","1218597"
"Population résidente par zone","Rual","Diourbel","","2013","1257591"
"Population résidente par zone","Rual","Diourbel","","2014","1295119"
"Population résidente par zone","Rual","Diourbel","","2015","1335344"
"Population résidente par zone","Rual","Diourbel","","2016","1375448"
"Population résidente par zone","Rual","Diourbel","","2017","1418702"
"Population résidente par zone","Rual","Diourbel","","2018","1463558"
"Population résidente par zone","Rual","Fatick","","1970","330557.870652743"
"Population résidente par zone","Rual","Fatick","","1971","338245.695962461"
"Population résidente par zone","Rual","Fatick","","1972","346099.791439375"
"Population résidente par zone","Rual","Fatick","","1973","354123.147191715"
"Population résidente par zone","Rual","Fatick","","1974","362318.77558135"
"Population résidente par zone","Rual","Fatick","","1975","370689.709417668"
"Population résidente par zone","Rual","Fatick","","1976","371873"
"Population résidente par zone","Rual","Fatick","","1977","378821"
"Population résidente par zone","Rual","Fatick","","1978","385272"
"Population résidente par zone","Rual","Fatick","","1979","391825"
"Population résidente par zone","Rual","Fatick","","1980","398482"
"Population résidente par zone","Rual","Fatick","","1981","405243"
"Population résidente par zone","Rual","Fatick","","1982","412110"
"Population résidente par zone","Rual","Fatick","","1983","419084"
"Population résidente par zone","Rual","Fatick","","1984","426167"
"Population résidente par zone","Rual","Fatick","","1985","433359"
"Population résidente par zone","Rual","Fatick","","1986","440663"
"Population résidente par zone","Rual","Fatick","","1987","448081"
"Population résidente par zone","Rual","Fatick","","1988","455612"
"Population résidente par zone","Rual","Fatick","","1989","461096"
"Population résidente par zone","Rual","Fatick","","1990","466292"
"Population résidente par zone","Rual","Fatick","","1991","471537"
"Population résidente par zone","Rual","Fatick","","1992","476830"
"Population résidente par zone","Rual","Fatick","","1993","482172"
"Population résidente par zone","Rual","Fatick","","1994","487563"
"Population résidente par zone","Rual","Fatick","","1995","493003"
"Population résidente par zone","Rual","Fatick","","1996","498493"
"Population résidente par zone","Rual","Fatick","","1997","504032"
"Population résidente par zone","Rual","Fatick","","1998","509620"
"Population résidente par zone","Rual","Fatick","","1999","515258"
"Population résidente par zone","Rual","Fatick","","2000","520945"
"Population résidente par zone","Rual","Fatick","","2001","526682"
"Population résidente par zone","Rual","Fatick","","2002","532468"
"Population résidente par zone","Rual","Fatick","","2003","538979"
"Population résidente par zone","Rual","Fatick","","2004","545287"
"Population résidente par zone","Rual","Fatick","","2005","551638"
"Population résidente par zone","Rual","Fatick","","2006","558032"
"Population résidente par zone","Rual","Fatick","","2007","564468"
"Population résidente par zone","Rual","Fatick","","2008","570945"
"Population résidente par zone","Rual","Fatick","","2009","577462"
"Population résidente par zone","Rual","Fatick","","2010","584018"
"Population résidente par zone","Rual","Fatick","","2011","590611"
"Population résidente par zone","Rual","Fatick","","2012","597240"
"Population résidente par zone","Rual","Fatick","","2013","603903"
"Population résidente par zone","Rual","Fatick","","2014","617277"
"Population résidente par zone","Rual","Fatick","","2015","636028"
"Population résidente par zone","Rual","Fatick","","2016","655602"
"Population résidente par zone","Rual","Fatick","","2017","676054"
"Population résidente par zone","Rual","Fatick","","2018","697433"
"Population résidente par zone","Rual","Kaffrine","","2008","463297"
"Population résidente par zone","Rual","Kaffrine","","2009","467152"
"Population résidente par zone","Rual","Kaffrine","","2010","470875"
"Population résidente par zone","Rual","Kaffrine","","2011","474454"
"Population résidente par zone","Rual","Kaffrine","","2012","477872"
"Population résidente par zone","Rual","Kaffrine","","2013","481115"
"Population résidente par zone","Rual","Kaffrine","","2014","492699"
"Population résidente par zone","Rual","Kaffrine","","2015","508438"
"Population résidente par zone","Rual","Kaffrine","","2016","524580"
"Population résidente par zone","Rual","Kaffrine","","2017","541129"
"Population résidente par zone","Rual","Kaffrine","","2018","558101"
"Population résidente par zone","Rual","Kaolack","","1970","428701"
"Population résidente par zone","Rual","Kaolack","","1971","437484"
"Population résidente par zone","Rual","Kaolack","","1972","446400"
"Population résidente par zone","Rual","Kaolack","","1973","455447"
"Population résidente par zone","Rual","Kaolack","","1974","464626"
"Population résidente par zone","Rual","Kaolack","","1975","473934"
"Population résidente par zone","Rual","Kaolack","","1976","473983"
"Population résidente par zone","Rual","Kaolack","","1977","486433"
"Population résidente par zone","Rual","Kaolack","","1978","497691"
"Population résidente par zone","Rual","Kaolack","","1979","509196"
"Population résidente par zone","Rual","Kaolack","","1980","520954"
"Population résidente par zone","Rual","Kaolack","","1981","532970"
"Population résidente par zone","Rual","Kaolack","","1982","545249"
"Population résidente par zone","Rual","Kaolack","","1983","557796"
"Population résidente par zone","Rual","Kaolack","","1984","570616"
"Population résidente par zone","Rual","Kaolack","","1985","583715"
"Population résidente par zone","Rual","Kaolack","","1986","597098"
"Population résidente par zone","Rual","Kaolack","","1987","610771"
"Population résidente par zone","Rual","Kaolack","","1988","624740"
"Population résidente par zone","Rual","Kaolack","","1989","638572"
"Population résidente par zone","Rual","Kaolack","","1990","651003"
"Population résidente par zone","Rual","Kaolack","","1991","663676"
"Population résidente par zone","Rual","Kaolack","","1992","676595"
"Population résidente par zone","Rual","Kaolack","","1993","689766"
"Population résidente par zone","Rual","Kaolack","","1994","703193"
"Population résidente par zone","Rual","Kaolack","","1995","716881"
"Population résidente par zone","Rual","Kaolack","","1996","730835"
"Population résidente par zone","Rual","Kaolack","","1997","745060"
"Population résidente par zone","Rual","Kaolack","","1998","759562"
"Population résidente par zone","Rual","Kaolack","","1999","774346"
"Population résidente par zone","Rual","Kaolack","","2000","789417"
"Population résidente par zone","Rual","Kaolack","","2001","804781"
"Population résidente par zone","Rual","Kaolack","","2002","820444"
"Population résidente par zone","Rual","Kaolack","","2003","833845"
"Population résidente par zone","Rual","Kaolack","","2004","848517"
"Population résidente par zone","Rual","Kaolack","","2005","863428"
"Population résidente par zone","Rual","Kaolack","","2006","878580"
"Population résidente par zone","Rual","Kaolack","","2007","893976"
"Population résidente par zone","Rual","Kaolack","","2008","459799"
"Population résidente par zone","Rual","Kaolack","","2009","488867"
"Population résidente par zone","Rual","Kaolack","","2010","519547"
"Population résidente par zone","Rual","Kaolack","","2011","551921"
"Population résidente par zone","Rual","Kaolack","","2012","586080"
"Population résidente par zone","Rual","Kaolack","","2013","622115"
"Population résidente par zone","Rual","Kaolack","","2014","635069"
"Population résidente par zone","Rual","Kaolack","","2015","650795"
"Population résidente par zone","Rual","Kaolack","","2016","666889"
"Population résidente par zone","Rual","Kaolack","","2017","683386"
"Population résidente par zone","Rual","Kaolack","","2018","700252"
"Population résidente par zone","Rual","Kédougou","","2008","102078"
"Population résidente par zone","Rual","Kédougou","","2009","104704"
"Population résidente par zone","Rual","Kédougou","","2010","107226"
"Population résidente par zone","Rual","Kédougou","","2011","109613"
"Population résidente par zone","Rual","Kédougou","","2012","111828"
"Population résidente par zone","Rual","Kédougou","","2013","113829"
"Population résidente par zone","Rual","Kédougou","","2014","115701"
"Population résidente par zone","Rual","Kédougou","","2015","119211"
"Population résidente par zone","Rual","Kédougou","","2016","122677"
"Population résidente par zone","Rual","Kédougou","","2017","126257"
"Population résidente par zone","Rual","Kédougou","","2018","130137"
"Population résidente par zone","Rual","Kolda","","1970","357085.877016975"
"Population résidente par zone","Rual","Kolda","","1971","365432.924785875"
"Population résidente par zone","Rual","Kolda","","1972","373962.544286953"
"Population résidente par zone","Rual","Kolda","","1973","382678.125112723"
"Population résidente par zone","Rual","Kolda","","1974","391583.088733974"
"Population résidente par zone","Rual","Kolda","","1975","400680.88691796"
"Population résidente par zone","Rual","Kolda","","1976","402012"
"Population résidente par zone","Rual","Kolda","","1977","412604"
"Population résidente par zone","Rual","Kolda","","1978","422184"
"Population résidente par zone","Rual","Kolda","","1979","431974"
"Population résidente par zone","Rual","Kolda","","1980","441978"
"Population résidente par zone","Rual","Kolda","","1981","452198"
"Population résidente par zone","Rual","Kolda","","1982","462639"
"Population résidente par zone","Rual","Kolda","","1983","473306"
"Population résidente par zone","Rual","Kolda","","1984","484202"
"Population résidente par zone","Rual","Kolda","","1985","495332"
"Population résidente par zone","Rual","Kolda","","1986","506700"
"Population résidente par zone","Rual","Kolda","","1987","518311"
"Population résidente par zone","Rual","Kolda","","1988","530168"
"Population résidente par zone","Rual","Kolda","","1989","542746"
"Population résidente par zone","Rual","Kolda","","1990","554081"
"Population résidente par zone","Rual","Kolda","","1991","565628"
"Population résidente par zone","Rual","Kolda","","1992","577390"
"Population résidente par zone","Rual","Kolda","","1993","589370"
"Population résidente par zone","Rual","Kolda","","1994","601572"
"Population résidente par zone","Rual","Kolda","","1995","613997"
"Population résidente par zone","Rual","Kolda","","1996","626649"
"Population résidente par zone","Rual","Kolda","","1997","639530"
"Population résidente par zone","Rual","Kolda","","1998","652643"
"Population résidente par zone","Rual","Kolda","","1999","665992"
"Population résidente par zone","Rual","Kolda","","2000","679578"
"Population résidente par zone","Rual","Kolda","","2001","693404"
"Population résidente par zone","Rual","Kolda","","2002","707472"
"Population résidente par zone","Rual","Kolda","","2003","721257.748425556"
"Population résidente par zone","Rual","Kolda","","2004","736236.648872422"
"Population résidente par zone","Rual","Kolda","","2005","751492.089416475"
"Population résidente par zone","Rual","Kolda","","2006","767027.700549926"
"Population résidente par zone","Rual","Kolda","","2007","782847.36083835"
"Population résidente par zone","Rual","Kolda","","2008","431160"
"Population résidente par zone","Rual","Kolda","","2009","442873"
"Population résidente par zone","Rual","Kolda","","2010","454888"
"Population résidente par zone","Rual","Kolda","","2011","467213"
"Population résidente par zone","Rual","Kolda","","2012","479854"
"Population résidente par zone","Rual","Kolda","","2013","492818"
"Population résidente par zone","Rual","Kolda","","2014","501775"
"Population résidente par zone","Rual","Kolda","","2015","513755"
"Population résidente par zone","Rual","Kolda","","2016","526850"
"Population résidente par zone","Rual","Kolda","","2017","539633"
"Population résidente par zone","Rual","Kolda","","2018","552805"
"Population résidente par zone","Rual","Louga","","1970","331300.295062548"
"Population résidente par zone","Rual","Louga","","1971","338829.082056162"
"Population résidente par zone","Rual","Louga","","1972","346512.171307384"
"Population résidente par zone","Rual","Louga","","1973","354351.894088878"
"Population résidente par zone","Rual","Louga","","1974","362350.571272356"
"Population résidente par zone","Rual","Louga","","1975","370510.509977827"
"Population résidente par zone","Rual","Louga","","1976","371475"
"Population résidente par zone","Rual","Louga","","1977","375312"
"Population résidente par zone","Rual","Louga","","1978","379082"
"Population résidente par zone","Rual","Louga","","1979","382863"
"Population résidente par zone","Rual","Louga","","1980","386654"
"Population résidente par zone","Rual","Louga","","1981","390454"
"Population résidente par zone","Rual","Louga","","1982","394262"
"Population résidente par zone","Rual","Louga","","1983","398076"
"Population résidente par zone","Rual","Louga","","1984","401895"
"Population résidente par zone","Rual","Louga","","1985","405717"
"Population résidente par zone","Rual","Louga","","1986","409541"
"Population résidente par zone","Rual","Louga","","1987","413365"
"Population résidente par zone","Rual","Louga","","1988","417188"
"Population résidente par zone","Rual","Louga","","1989","426818"
"Population résidente par zone","Rual","Louga","","1990","435527"
"Population résidente par zone","Rual","Louga","","1991","444392"
"Population résidente par zone","Rual","Louga","","1992","453416"
"Population résidente par zone","Rual","Louga","","1993","462602"
"Population résidente par zone","Rual","Louga","","1994","471950"
"Population résidente par zone","Rual","Louga","","1995","481463"
"Population résidente par zone","Rual","Louga","","1996","491143"
"Population résidente par zone","Rual","Louga","","1997","500991"
"Population résidente par zone","Rual","Louga","","1998","511009"
"Population résidente par zone","Rual","Louga","","1999","521199"
"Population résidente par zone","Rual","Louga","","2000","531563"
"Population résidente par zone","Rual","Louga","","2001","542103"
"Population résidente par zone","Rual","Louga","","2002","552819"
"Population résidente par zone","Rual","Louga","","2003","564766"
"Population résidente par zone","Rual","Louga","","2004","575903"
"Population résidente par zone","Rual","Louga","","2005","587223"
"Population résidente par zone","Rual","Louga","","2006","598727"
"Population résidente par zone","Rual","Louga","","2007","610416"
"Population résidente par zone","Rual","Louga","","2008","622292"
"Population résidente par zone","Rual","Louga","","2009","634356"
"Population résidente par zone","Rual","Louga","","2010","646609"
"Population résidente par zone","Rual","Louga","","2011","659052"
"Population résidente par zone","Rual","Louga","","2012","671686"
"Population résidente par zone","Rual","Louga","","2013","684511"
"Population résidente par zone","Rual","Louga","","2014","698314"
"Population résidente par zone","Rual","Louga","","2015","715215"
"Population résidente par zone","Rual","Louga","","2016","732528"
"Population résidente par zone","Rual","Louga","","2017","751225"
"Population résidente par zone","Rual","Louga","","2018","769371"
"Population résidente par zone","Rual","Matam","","2002","365683"
"Population résidente par zone","Rual","Matam","","2003","372902"
"Population résidente par zone","Rual","Matam","","2004","379962"
"Population résidente par zone","Rual","Matam","","2005","387039"
"Population résidente par zone","Rual","Matam","","2006","394121"
"Population résidente par zone","Rual","Matam","","2007","401197"
"Population résidente par zone","Rual","Matam","","2008","408255"
"Population résidente par zone","Rual","Matam","","2009","415282"
"Population résidente par zone","Rual","Matam","","2010","422262"
"Population résidente par zone","Rual","Matam","","2011","429179"
"Population résidente par zone","Rual","Matam","","2012","436016"
"Population résidente par zone","Rual","Matam","","2013","442754"
"Population résidente par zone","Rual","Matam","","2014","450668"
"Population résidente par zone","Rual","Matam","","2015","463922"
"Population résidente par zone","Rual","Matam","","2016","476811"
"Population résidente par zone","Rual","Matam","","2017","489926"
"Population résidente par zone","Rual","Matam","","2018","503944"
"Population résidente par zone","Rual","Saint-Louis","","1970","358409"
"Population résidente par zone","Rual","Saint-Louis","","1971","365484"
"Population résidente par zone","Rual","Saint-Louis","","1972","372652"
"Population résidente par zone","Rual","Saint-Louis","","1973","379910"
"Population résidente par zone","Rual","Saint-Louis","","1974","387257"
"Population résidente par zone","Rual","Saint-Louis","","1975","394690"
"Population résidente par zone","Rual","Saint-Louis","","1976","393772"
"Population résidente par zone","Rual","Saint-Louis","","1977","401061"
"Population résidente par zone","Rual","Saint-Louis","","1978","407889"
"Population résidente par zone","Rual","Saint-Louis","","1979","414810"
"Population résidente par zone","Rual","Saint-Louis","","1980","421824"
"Population résidente par zone","Rual","Saint-Louis","","1981","428932"
"Population résidente par zone","Rual","Saint-Louis","","1982","436133"
"Population résidente par zone","Rual","Saint-Louis","","1983","443428"
"Population résidente par zone","Rual","Saint-Louis","","1984","450817"
"Population résidente par zone","Rual","Saint-Louis","","1985","458301"
"Population résidente par zone","Rual","Saint-Louis","","1986","465879"
"Population résidente par zone","Rual","Saint-Louis","","1987","473551"
"Population résidente par zone","Rual","Saint-Louis","","1988","481317"
"Population résidente par zone","Rual","Saint-Louis","","1989","478420"
"Population résidente par zone","Rual","Saint-Louis","","1990","476150"
"Population résidente par zone","Rual","Saint-Louis","","1991","473771"
"Population résidente par zone","Rual","Saint-Louis","","1992","471279"
"Population résidente par zone","Rual","Saint-Louis","","1993","468671"
"Population résidente par zone","Rual","Saint-Louis","","1994","465944"
"Population résidente par zone","Rual","Saint-Louis","","1995","463095"
"Population résidente par zone","Rual","Saint-Louis","","1996","460121"
"Population résidente par zone","Rual","Saint-Louis","","1997","457019"
"Population résidente par zone","Rual","Saint-Louis","","1998","453785"
"Population résidente par zone","Rual","Saint-Louis","","1999","450415"
"Population résidente par zone","Rual","Saint-Louis","","2000","446906"
"Population résidente par zone","Rual","Saint-Louis","","2001","443253"
"Population résidente par zone","Rual","Saint-Louis","","2002","439453"
"Population résidente par zone","Rual","Saint-Louis","","2003","444909"
"Population résidente par zone","Rual","Saint-Louis","","2004","450643"
"Population résidente par zone","Rual","Saint-Louis","","2005","456293"
"Population résidente par zone","Rual","Saint-Louis","","2006","461848"
"Population résidente par zone","Rual","Saint-Louis","","2007","467295"
"Population résidente par zone","Rual","Saint-Louis","","2008","472620"
"Population résidente par zone","Rual","Saint-Louis","","2009","477810"
"Population résidente par zone","Rual","Saint-Louis","","2010","482849"
"Population résidente par zone","Rual","Saint-Louis","","2011","487722"
"Population résidente par zone","Rual","Saint-Louis","","2012","492414"
"Population résidente par zone","Rual","Saint-Louis","","2013","496907"
"Population résidente par zone","Rual","Saint-Louis","","2014","500954"
"Population résidente par zone","Rual","Saint-Louis","","2015","508486"
"Population résidente par zone","Rual","Saint-Louis","","2016","516091"
"Population résidente par zone","Rual","Saint-Louis","","2017","523758"
"Population résidente par zone","Rual","Saint-Louis","","2018","531471"
"Population résidente par zone","Rual","Sédhiou","","2008","343301"
"Population résidente par zone","Rual","Sédhiou","","2009","348002"
"Population résidente par zone","Rual","Sédhiou","","2010","352633"
"Population résidente par zone","Rual","Sédhiou","","2011","357182"
"Population résidente par zone","Rual","Sédhiou","","2012","361636"
"Population résidente par zone","Rual","Sédhiou","","2013","365980"
"Population résidente par zone","Rual","Sédhiou","","2014","372138"
"Population résidente par zone","Rual","Sédhiou","","2015","382177"
"Population résidente par zone","Rual","Sédhiou","","2016","393051"
"Population résidente par zone","Rual","Sédhiou","","2017","403790"
"Population résidente par zone","Rual","Sédhiou","","2018","414892"
"Population résidente par zone","Rual","Tambacounda","","1970","221312"
"Population résidente par zone","Rual","Tambacounda","","1971","226218"
"Population résidente par zone","Rual","Tambacounda","","1972","231218"
"Population résidente par zone","Rual","Tambacounda","","1973","236314"
"Population résidente par zone","Rual","Tambacounda","","1974","241506"
"Population résidente par zone","Rual","Tambacounda","","1975","246796"
"Population résidente par zone","Rual","Tambacounda","","1976","247287"
"Population résidente par zone","Rual","Tambacounda","","1977","253723"
"Population résidente par zone","Rual","Tambacounda","","1978","259539"
"Population résidente par zone","Rual","Tambacounda","","1979","265484"
"Population résidente par zone","Rual","Tambacounda","","1980","271559"
"Population résidente par zone","Rual","Tambacounda","","1981","277768"
"Population résidente par zone","Rual","Tambacounda","","1982","284113"
"Population résidente par zone","Rual","Tambacounda","","1983","290597"
"Population résidente par zone","Rual","Tambacounda","","1984","297223"
"Population résidente par zone","Rual","Tambacounda","","1985","303994"
"Population résidente par zone","Rual","Tambacounda","","1986","310913"
"Population résidente par zone","Rual","Tambacounda","","1987","317983"
"Population résidente par zone","Rual","Tambacounda","","1988","325207"
"Population résidente par zone","Rual","Tambacounda","","1989","338009"
"Population résidente par zone","Rual","Tambacounda","","1990","348853"
"Population résidente par zone","Rual","Tambacounda","","1991","360043"
"Population résidente par zone","Rual","Tambacounda","","1992","371591"
"Population résidente par zone","Rual","Tambacounda","","1993","383508"
"Population résidente par zone","Rual","Tambacounda","","1994","395805"
"Population résidente par zone","Rual","Tambacounda","","1995","408494"
"Population résidente par zone","Rual","Tambacounda","","1996","421587"
"Population résidente par zone","Rual","Tambacounda","","1997","435097"
"Population résidente par zone","Rual","Tambacounda","","1998","449037"
"Population résidente par zone","Rual","Tambacounda","","1999","463421"
"Population résidente par zone","Rual","Tambacounda","","2000","478263"
"Population résidente par zone","Rual","Tambacounda","","2001","493579"
"Population résidente par zone","Rual","Tambacounda","","2002","509382"
"Population résidente par zone","Rual","Tambacounda","","2003","524827"
"Population résidente par zone","Rual","Tambacounda","","2004","541703"
"Population résidente par zone","Rual","Tambacounda","","2005","559116"
"Population résidente par zone","Rual","Tambacounda","","2006","577081"
"Population résidente par zone","Rual","Tambacounda","","2007","595618"
"Population résidente par zone","Rual","Tambacounda","","2008","481328"
"Population résidente par zone","Rual","Tambacounda","","2009","488929"
"Population résidente par zone","Rual","Tambacounda","","2010","496587"
"Population résidente par zone","Rual","Tambacounda","","2011","504299"
"Population résidente par zone","Rual","Tambacounda","","2012","512061"
"Population résidente par zone","Rual","Tambacounda","","2013","519871"
"Population résidente par zone","Rual","Tambacounda","","2014","534690"
"Population résidente par zone","Rual","Tambacounda","","2015","552238"
"Population résidente par zone","Rual","Tambacounda","","2016","569712"
"Population résidente par zone","Rual","Tambacounda","","2017","587835"
"Population résidente par zone","Rual","Tambacounda","","2018","606623"
"Population résidente par zone","Rual","Thiès","","1970","440615"
"Population résidente par zone","Rual","Thiès","","1971","448563"
"Population résidente par zone","Rual","Thiès","","1972","456572"
"Population résidente par zone","Rual","Thiès","","1973","464637"
"Population résidente par zone","Rual","Thiès","","1974","472753"
"Population résidente par zone","Rual","Thiès","","1975","480914"
"Population résidente par zone","Rual","Thiès","","1976","479614"
"Population résidente par zone","Rual","Thiès","","1977","491476"
"Population résidente par zone","Rual","Thiès","","1978","502382"
"Population résidente par zone","Rual","Thiès","","1979","513480"
"Population résidente par zone","Rual","Thiès","","1980","524772"
"Population résidente par zone","Rual","Thiès","","1981","536257"
"Population résidente par zone","Rual","Thiès","","1982","547937"
"Population résidente par zone","Rual","Thiès","","1983","559812"
"Population résidente par zone","Rual","Thiès","","1984","571883"
"Population résidente par zone","Rual","Thiès","","1985","584148"
"Population résidente par zone","Rual","Thiès","","1986","596608"
"Population résidente par zone","Rual","Thiès","","1987","609263"
"Population résidente par zone","Rual","Thiès","","1988","622112"
"Population résidente par zone","Rual","Thiès","","1989","632151"
"Population résidente par zone","Rual","Thiès","","1990","642001"
"Population résidente par zone","Rual","Thiès","","1991","651866"
"Population résidente par zone","Rual","Thiès","","1992","661737"
"Population résidente par zone","Rual","Thiès","","1993","671605"
"Population résidente par zone","Rual","Thiès","","1994","681460"
"Population résidente par zone","Rual","Thiès","","1995","691291"
"Population résidente par zone","Rual","Thiès","","1996","701087"
"Population résidente par zone","Rual","Thiès","","1997","710835"
"Population résidente par zone","Rual","Thiès","","1998","720524"
"Population résidente par zone","Rual","Thiès","","1999","730139"
"Population résidente par zone","Rual","Thiès","","2000","739666"
"Population résidente par zone","Rual","Thiès","","2001","749091"
"Population résidente par zone","Rual","Thiès","","2002","758396"
"Population résidente par zone","Rual","Thiès","","2003","772962"
"Population résidente par zone","Rual","Thiès","","2004","787003"
"Population résidente par zone","Rual","Thiès","","2005","801145"
"Population résidente par zone","Rual","Thiès","","2006","815380"
"Population résidente par zone","Rual","Thiès","","2007","829698"
"Population résidente par zone","Rual","Thiès","","2008","844090"
"Population résidente par zone","Rual","Thiès","","2009","858545"
"Population résidente par zone","Rual","Thiès","","2010","873051"
"Population résidente par zone","Rual","Thiès","","2011","887596"
"Population résidente par zone","Rual","Thiès","","2012","902167"
"Population résidente par zone","Rual","Thiès","","2013","916752"
"Population résidente par zone","Rual","Thiès","","2014","928375"
"Population résidente par zone","Rual","Thiès","","2015","942771"
"Population résidente par zone","Rual","Thiès","","2016","959125"
"Population résidente par zone","Rual","Thiès","","2017","973578"
"Population résidente par zone","Rual","Thiès","","2018","990036"
"Population résidente par zone","Rual","Ziguinchor","","1970","188610"
"Population résidente par zone","Rual","Ziguinchor","","1971","191969"
"Population résidente par zone","Rual","Ziguinchor","","1972","195350"
"Population résidente par zone","Rual","Ziguinchor","","1973","198752"
"Population résidente par zone","Rual","Ziguinchor","","1974","202173"
"Population résidente par zone","Rual","Ziguinchor","","1975","205609"
"Population résidente par zone","Rual","Ziguinchor","","1976","204997"
"Population résidente par zone","Rual","Ziguinchor","","1977","208693"
"Population résidente par zone","Rual","Ziguinchor","","1978","212302"
"Population résidente par zone","Rual","Ziguinchor","","1979","215921"
"Population résidente par zone","Rual","Ziguinchor","","1980","219548"
"Population résidente par zone","Rual","Ziguinchor","","1981","223178"
"Population résidente par zone","Rual","Ziguinchor","","1982","226808"
"Population résidente par zone","Rual","Ziguinchor","","1983","230433"
"Population résidente par zone","Rual","Ziguinchor","","1984","234048"
"Population résidente par zone","Rual","Ziguinchor","","1985","237649"
"Population résidente par zone","Rual","Ziguinchor","","1986","241230"
"Population résidente par zone","Rual","Ziguinchor","","1987","244785"
"Population résidente par zone","Rual","Ziguinchor","","1988","248308"
"Population résidente par zone","Rual","Ziguinchor","","1989","246126"
"Population résidente par zone","Rual","Ziguinchor","","1990","244213"
"Population résidente par zone","Rual","Ziguinchor","","1991","242253"
"Population résidente par zone","Rual","Ziguinchor","","1992","240247"
"Population résidente par zone","Rual","Ziguinchor","","1993","238192"
"Population résidente par zone","Rual","Ziguinchor","","1994","236089"
"Population résidente par zone","Rual","Ziguinchor","","1995","233936"
"Population résidente par zone","Rual","Ziguinchor","","1996","231733"
"Population résidente par zone","Rual","Ziguinchor","","1997","229478"
"Population résidente par zone","Rual","Ziguinchor","","1998","227171"
"Population résidente par zone","Rual","Ziguinchor","","1999","224811"
"Population résidente par zone","Rual","Ziguinchor","","2000","222397"
"Population résidente par zone","Rual","Ziguinchor","","2001","219928"
"Population résidente par zone","Rual","Ziguinchor","","2002","217402"
"Population résidente par zone","Rual","Ziguinchor","","2003","224532"
"Population résidente par zone","Rual","Ziguinchor","","2004","230899"
"Population résidente par zone","Rual","Ziguinchor","","2005","237445"
"Population résidente par zone","Rual","Ziguinchor","","2006","244175"
"Population résidente par zone","Rual","Ziguinchor","","2007","251094"
